ald	dod
0	2.29
1	0.16
2	0.12
3	0.07
4	0.08
5	0.08
6	0.06
7	0.06
8	0.03
9	0.03
10	0.05
11	0.05
12	0.09
13	0.11
14	0.11
15	0.14
16	0.17
17	0.18
18	0.29
19	0.33
20	0.33
21	0.34
22	0.42
23	0.42
24	0.36
25	0.41
26	0.44
27	0.52
28	0.41
29	0.44
30	0.47
31	0.51
32	0.55
33	0.51
34	0.56
35	0.57
36	0.57
37	0.65
38	0.72
39	0.74
40	0.73
41	0.85
42	0.89
43	0.93
44	1.04
45	1.15
46	1.28
47	1.40
48	1.45
49	1.81
50	1.95
51	2.24
52	2.29
53	2.71
54	2.97
55	3.36
56	3.47
57	4.00
58	4.30
59	4.73
60	5.32
61	5.87
62	6.40
63	6.87
64	7.72
65	8.36
66	9.65
67	10.36
68	11.75
69	13.32
70	14.03
71	15.76
72	17.53
73	18.95
74	21.33
75	24.26
76	26.29
77	30.45
78	34.69
79	38.93
80	43.63
81	50.82
82	56.35
83	64.93
84	72.92
85	81.67
86	93.89
87	106.49
88	119.54
89	136.24
90	154.79
91	172.32
92	193.20
93	210.89
94	233.44
95	264.53
96	279.36
97	302.51
98	327.84
99	342.33
100	379.00
101	385.25
102	391.81
103	401.58
104	423.59
105	278.71
106	1000.00

